 rpt_as_rev ,Date,Country,Code
" 10,297,191,168 ",1/1/2022,USA,T1
" 11,688,146,376 ",1/1/2022,USA,T1
" 15,581,561,952 ",1/1/2022,USA,T1
" 31,154,236,800 ",1/1/2022,USA,T1
" 798,584,426,856 ",1/1/2022,USA,T1
" 26,142,774,168 ",1/1/2022,USA,T1
" 3,108,881,784 ",1/1/2022,USA,T1
" 36,767,430,432 ",1/1/2022,USA,T1
" 10,069,088,832 ",1/1/2022,USA,T1
" 1,961,951,640 ",1/1/2022,USA,T1
" 11,428,692,312 ",1/1/2022,USA,T1
" 1,461,805,176 ",1/1/2022,USA,t2
" 2,372,980,200 ",1/1/2022,USA,t2
" 2,519,370,552 ",1/1/2022,USA,t2
" 23,658,334,872 ",1/1/2022,USA,t2
" 11,455,723,920 ",1/1/2022,USA,t2
" 2,648,727,288 ",1/1/2022,USA,t2
" 155,859,684,744 ",1/1/2022,ASIA,T3
" 5,678,489,160 ",1/1/2022,ASIA,T3
" 5,896,716,936 ",1/1/2022,ASIA,T4
" 24,691,584,144 ",1/1/2022,Europe,T5
" 57,974,405,784 ",1/1/2022,Europe,T5
" 24,364,489,344 ",1/1/2022,Europe,T5
" 45,260,539,488 ",1/1/2022,Europe,T5
" 18,419,263,632 ",1/1/2022,Europe,T5
" 2,900,034,840 ",1/1/2022,Europe,T5
" 2,255,102,640 ",1/1/2022,Europe,T5
" 30,334,771,752 ",1/1/2022,Europe,T5
" 132,497,586,672 ",1/1/2022,Europe,T5
" 11,473,498,128 ",1/1/2022,Europe,T5
" 179,500,615,704 ",1/1/2022,Europe,T5
" 33,259,122,696 ",1/1/2022,Mexico,T5
" 36,046,464,120 ",1/1/2022,Mexico,T5
" 3,162,574,704 ",1/1/2022,Mexico,T6
" 32,983,005,312 ",1/1/2022,Mexico,T6
" 23,378,637,960 ",1/1/2022,Mexico,T6
" 4,901,855,016 ",1/1/2022,Mexico,T6
" 1,545,492,072 ",1/1/2022,Mexico,T6
" 26,526,771,120 ",1/1/2022,Mexico,T6
" 15,002,048,712 ",1/1/2022,Mexico,T6
" 23,826,696,120 ",1/1/2022,Mexico,T6
" 101,218,806,984 ",1/1/2022,Mexico,T6
" 25,608,066,744 ",1/1/2022,Mexico,T6
" 5,728,725,984 ",1/1/2022,Mexico,T6
" 276,478,669,464 ",1/1/2022,Mexico,T6
" 18,826,712,664 ",1/1/2022,CANADA,T6
" 7,088,823,192 ",1/1/2022,CANADA,T6
" 857,975,832 ",1/1/2022,CANADA,T6
" 4,607,839,992 ",1/1/2022,CANADA,T6
" 35,598,035,664 ",1/1/2022,CANADA,T6
" 635,921,664 ",1/1/2022,CANADA,T6
" 2,970,267,648 ",1/1/2022,CANADA,T6
" 15,755,477,640 ",1/1/2022,CANADA,T6
" 12,317,279,280 ",1/1/2022,CANADA,T6
" 2,174,131,248 ",1/1/2022,CANADA,T6
" 26,673,531,768 ",1/1/2022,CANADA,T6
" 7,968,893,352 ",1/1/2022,CANADA,T8
" 11,441,529,240 ",1/1/2022,CANADA,T8
" 34,132,650,960 ",1/2/2022,USA,T1
" 14,930,581,584 ",1/2/2022,USA,T1
" 18,443,703,168 ",1/2/2022,USA,T1
" 5,464,211,208 ",1/2/2022,USA,T1
" 1,005,338,704,728 ",1/2/2022,USA,T1
" 40,259,074,848 ",1/2/2022,USA,T1
" 6,509,556,816 ",1/2/2022,USA,T1
" 41,314,541,880 ",1/2/2022,USA,T1
" 19,107,520,464 ",1/2/2022,USA,T1
" 4,290,249,456 ",1/2/2022,USA,T1
" 21,875,606,496 ",1/2/2022,USA,T1
" 6,713,466,480 ",1/2/2022,USA,t2
" 6,433,152,408 ",1/2/2022,USA,t2
" 12,445,648,560 ",1/2/2022,USA,t2
" 8,677,639,896 ",1/2/2022,USA,t2
" 26,359,644,192 ",1/2/2022,USA,t2
" 7,447,393,152 ",1/2/2022,USA,t2
" 678,999,432 ",1/2/2022,USA,t2
" 277,086,325,200 ",1/2/2022,ASIA,T3
" 26,995,565,856 ",1/2/2022,ASIA,T3
" 13,898,690,064 ",1/2/2022,ASIA,T4
" 25,368,485,232 ",1/2/2022,Europe,T5
" 26,470,856,424 ",1/2/2022,Europe,T5
" 27,422,023,416 ",1/2/2022,Europe,T5
" 62,522,874,984 ",1/2/2022,Europe,T5
" 8,015,303,784 ",1/2/2022,Europe,T5
" 8,271,054,888 ",1/2/2022,Europe,T5
" 36,923,571,912 ",1/2/2022,Europe,T5
