 rpt_as_rev ,Date,Country,Code,#Ra,days
10297191168,1/1/2022,USA,T1,1831,7
11688146376,1/1/2022,USA,T1,2666,1
15581561952,1/1/2022,USA,T1,1893,8
31154236800,1/1/2022,USA,T1,2752,11
798584426856,1/1/2022,USA,T1,2732,10
26142774168,1/1/2022,USA,T1,461,10
3108881784,1/1/2022,USA,T1,550,6
36767430432,1/1/2022,USA,T1,2382,13
10069088832,1/1/2022,USA,T1,683,8
1961951640,1/1/2022,USA,T1,1782,6
11428692312,1/1/2022,USA,T1,301,6
1461805176,1/1/2022,USA,t2,2846,6
2372980200,1/1/2022,USA,t2,433,10
2519370552,1/1/2022,USA,t2,1154,2
23658334872,1/1/2022,USA,t2,2638,1
11455723920,1/1/2022,USA,t2,1584,3
2648727288,1/1/2022,USA,t2,1340,2
155859684744,1/1/2022,ASIA,T3,1317,11
5678489160,1/1/2022,ASIA,T3,1035,12
5896716936,1/1/2022,ASIA,T4,850,14
24691584144,1/1/2022,Europe,T5,2465,12
57974405784,1/1/2022,Europe,T5,2985,14
24364489344,1/1/2022,Europe,T5,59,8
45260539488,1/1/2022,Europe,T5,1796,2
18419263632,1/1/2022,Europe,T5,1036,8
2900034840,1/1/2022,Europe,T5,1754,2
2255102640,1/1/2022,Europe,T5,2203,3
30334771752,1/1/2022,Europe,T5,2400,8
132497586672,1/1/2022,Europe,T5,2244,2
11473498128,1/1/2022,Europe,T5,435,3
179500615704,1/1/2022,Europe,T5,472,9
33259122696,1/1/2022,Mexico,T5,2074,2
36046464120,1/1/2022,Mexico,T5,1931,12
3162574704,1/1/2022,Mexico,T6,690,4
32983005312,1/1/2022,Mexico,T6,2479,12
23378637960,1/1/2022,Mexico,T6,2507,13
4901855016,1/1/2022,Mexico,T6,134,7
1545492072,1/1/2022,Mexico,T6,925,8
26526771120,1/1/2022,Mexico,T6,1702,10
15002048712,1/1/2022,Mexico,T6,1678,8
23826696120,1/1/2022,Mexico,T6,2665,6
101218806984,1/1/2022,Mexico,T6,891,4
25608066744,1/1/2022,Mexico,T6,2840,7
5728725984,1/1/2022,Mexico,T6,1141,9
276478669464,1/1/2022,Mexico,T6,578,14
18826712664,1/1/2022,CANADA,T6,1418,12
7088823192,1/1/2022,CANADA,T6,1672,5
857975832,1/1/2022,CANADA,T6,847,10
4607839992,1/1/2022,CANADA,T6,329,10
35598035664,1/1/2022,CANADA,T6,826,7
635921664,1/1/2022,CANADA,T6,2937,14
2970267648,1/1/2022,CANADA,T6,1692,6
15755477640,1/1/2022,CANADA,T6,1297,1
12317279280,1/1/2022,CANADA,T6,314,14
2174131248,1/1/2022,CANADA,T6,1948,2
26673531768,1/1/2022,CANADA,T6,885,12
7968893352,1/1/2022,CANADA,T8,230,6
11441529240,1/1/2022,CANADA,T8,1228,14
34132650960,1/2/2022,USA,T1,2373,3
14930581584,1/2/2022,USA,T1,542,13
18443703168,1/2/2022,USA,T1,2159,11
5464211208,1/2/2022,USA,T1,1552,9
1005338704728,1/2/2022,USA,T1,2175,15
40259074848,1/2/2022,USA,T1,2966,11
6509556816,1/2/2022,USA,T1,2974,11
41314541880,1/2/2022,USA,T1,1944,7
19107520464,1/2/2022,USA,T1,1917,14
4290249456,1/2/2022,USA,T1,1643,1
21875606496,1/2/2022,USA,T1,2298,2
6713466480,1/2/2022,USA,t2,403,12
6433152408,1/2/2022,USA,t2,2196,6
12445648560,1/2/2022,USA,t2,1127,1
8677639896,1/2/2022,USA,t2,2750,4
26359644192,1/2/2022,USA,t2,2960,3
7447393152,1/2/2022,USA,t2,1336,1
678999432,1/2/2022,USA,t2,2151,11
277086325200,1/2/2022,ASIA,T3,1275,6
26995565856,1/2/2022,ASIA,T3,2747,10
13898690064,1/2/2022,ASIA,T4,50,5
25368485232,1/2/2022,Europe,T5,60,2
26470856424,1/2/2022,Europe,T5,1342,8
27422023416,1/2/2022,Europe,T5,1973,3
62522874984,1/2/2022,Europe,T5,52,9
8015303784,1/2/2022,Europe,T5,2455,9
8271054888,1/2/2022,Europe,T5,847,5
36923571912,1/2/2022,Europe,T5,2337,2
28767061920,1/2/2022,Europe,T5,2593,12
144182894112,1/2/2022,Europe,T5,2159,11
15097955376,1/2/2022,Europe,T5,921,9
316947578712,1/2/2022,Europe,T5,2056,13
43431647544,1/2/2022,Mexico,T5,217,11
93936689280,1/2/2022,Mexico,T5,556,10
4986776232,1/2/2022,Mexico,T6,1221,10
43076410248,1/2/2022,Mexico,T6,2941,11
4890375840,1/2/2022,Mexico,T6,2333,2
55823726616,1/2/2022,Mexico,T6,924,2
1704595920,1/2/2022,Mexico,T6,259,14
17438226096,1/2/2022,Mexico,T6,1890,13
25035712560,1/2/2022,Mexico,T6,2367,2
20605491216,1/2/2022,Mexico,T6,2151,2
162273211464,1/2/2022,Mexico,T6,2500,11
30317120976,1/2/2022,Mexico,T6,2411,10
5311032096,1/2/2022,Mexico,T6,1216,13
3095797992,1/2/2022,Mexico,T6,1547,5
388217585808,1/2/2022,Mexico,T6,2422,7
9660775776,1/2/2022,CANADA,T6,2004,8
15786212208,1/2/2022,CANADA,T6,300,7
8511994152,1/2/2022,CANADA,T6,2909,8
4849149552,1/2/2022,CANADA,T6,765,5
50225838552,1/2/2022,CANADA,T6,2250,3
1603134816,1/2/2022,CANADA,T6,1909,7
4279017144,1/2/2022,CANADA,T6,1137,10
6959836752,1/2/2022,CANADA,T6,555,7
22653968688,1/2/2022,CANADA,T6,2535,13
14936753184,1/2/2022,CANADA,T6,1165,14
22621506072,1/2/2022,CANADA,T8,2466,12
10472834904,1/2/2022,CANADA,T8,939,4
11356484592,1/3/2022,USA,T1,934,12
11120606040,1/3/2022,USA,T1,1895,15
33877146720,1/3/2022,USA,T1,68,9
9136560072,1/3/2022,USA,T1,2848,3
978397942680,1/3/2022,USA,T1,523,12
35272175184,1/3/2022,USA,T1,1493,6
2190177408,1/3/2022,USA,T1,2819,5
32344861872,1/3/2022,USA,T1,2054,8
10351624680,1/3/2022,USA,T1,600,10
1245058584,1/3/2022,USA,T1,2467,10
12807798048,1/3/2022,USA,T1,1488,13
2482587816,1/3/2022,USA,t2,2362,8
11257615560,1/3/2022,USA,t2,1027,4
